[334.49, 30.8217, 137.04, -231.502, 140.062, -48.217, -44.1648, -318.52]
[334.49, 30.8217, 137.04, -231.502, 140.819, -48.9741, -44.1648, -318.52]
[334.49, 29.349, 138.513, -231.502, 140.819, -48.9741, -44.1648, -318.52]
[334.49, 29.349, 138.513, -229.81, 140.819, -48.9741, -44.1648, -320.213]
[334.49, 29.349, 138.654, -229.95, 140.819, -48.9741, -44.1648, -320.213]
[334.49, 29.349, 138.654, -228.296, 140.819, -48.9741, -44.1648, -321.866]
[334.49, 29.349, 138.654, -228.296, 141.566, -49.7213, -44.1648, -321.866]
[334.49, 27.9099, 140.093, -228.296, 141.566, -49.7213, -44.1648, -321.866]
[334.49, 27.9099, 140.093, -229.081, 141.566, -49.7213, -43.38, -321.866]
[334.618, 27.9099, 140.093, -229.081, 141.566, -49.7213, -43.5081, -321.866]
[334.618, 27.9099, 140.093, -227.457, 141.566, -49.7213, -43.5081, -323.491]
[334.618, 27.9099, 140.093, -225.87, 141.566, -49.7213, -43.5081, -325.078]
[334.618, 27.9099, 140.093, -230.052, 141.566, -49.7213, -43.5081, -320.896]
[335.344, 27.9099, 140.093, -230.052, 140.84, -49.7213, -43.5081, -320.896]
[335.364, 27.9099, 140.093, -230.072, 140.84, -49.7213, -43.5081, -320.896]
[335.364, 27.9099, 140.231, -230.21, 140.84, -49.7213, -43.5081, -320.896]
[335.364, 27.9099, 140.369, -230.348, 140.84, -49.7213, -43.5081, -320.896]
[335.364, 27.9099, 140.369, -228.697, 140.84, -49.7213, -43.5081, -322.546]
[335.364, 27.9099, 141.114, -228.697, 140.84, -50.4665, -43.5081, -322.546]
[336.081, 27.9099, 141.114, -228.697, 140.123, -50.4665, -43.5081, -322.546]
[336.089, 27.9099, 141.114, -228.697, 140.123, -50.4665, -43.5081, -322.554]
[336.089, 27.9099, 141.114, -228.697, 135.133, -45.4761, -43.5081, -322.554]
[336.089, 27.9099, 141.114, -228.697, 135.942, -46.285, -43.5081, -322.554]
[336.803, 27.9099, 140.4, -228.697, 135.942, -46.285, -43.5081, -322.554]
[336.803, 28.319, 140.4, -229.106, 135.942, -46.285, -43.5081, -322.554]
[336.803, 28.319, 140.4, -233.222, 135.942, -46.285, -43.5081, -318.438]
[336.803, 28.319, 140.4, -237.241, 135.942, -46.285, -43.5081, -314.42]
[336.803, 28.319, 140.4, -237.375, 136.076, -46.285, -43.5081, -314.42]
[336.803, 28.319, 140.4, -237.375, 136.892, -46.285, -44.3242, -314.42]
[331.089, 28.319, 140.4, -231.661, 136.892, -46.285, -44.3242, -314.42]
[331.221, 28.319, 140.4, -231.661, 136.892, -46.285, -44.4554, -314.42]
[331.939, 28.319, 140.4, -231.661, 136.174, -46.285, -44.4554, -314.42]
[332.648, 28.319, 140.4, -231.661, 135.464, -46.285, -44.4554, -314.42]
[332.648, 28.319, 140.4, -231.661, 136.278, -46.285, -45.2691, -314.42]
[327.042, 28.319, 140.4, -231.661, 136.278, -40.6793, -45.2691, -314.42]
[327.81, 28.319, 139.632, -231.661, 136.278, -40.6793, -45.2691, -314.42]
[327.944, 28.319, 139.632, -231.661, 136.278, -40.6793, -45.4033, -314.42]
[327.944, 28.319, 139.632, -235.649, 136.278, -40.6793, -45.4033, -310.431]
[328.701, 28.319, 138.875, -235.649, 136.278, -40.6793, -45.4033, -310.431]
[328.701, 28.319, 139.007, -235.782, 136.278, -40.6793, -45.4033, -310.431]
[328.972, 28.0481, 139.007, -235.782, 136.278, -40.6793, -45.4033, -310.431]
[328.972, 28.0481, 139.007, -235.782, 137.113, -41.514, -45.4033, -310.431]
[328.972, 28.0481, 139.817, -235.782, 137.113, -42.3235, -45.4033, -310.431]
