[283.182, 93.346, -20.1319, -134.62, 102.795, -57.8924, -32.0959, -234.551]
[283.182, 93.346, -20.1319, -134.62, 104.259, -59.3563, -32.0959, -234.551]
[283.182, 94.9099, -20.1319, -134.62, 104.259, -60.9202, -32.0959, -234.551]
[283.182, 96.434, -20.1319, -134.62, 104.259, -62.4443, -32.0959, -234.551]
[283.182, 96.434, -20.1319, -134.62, 106.044, -62.4443, -33.881, -234.551]
[284.355, 95.261, -20.1319, -134.62, 106.044, -62.4443, -33.881, -234.551]
[285.616, 95.261, -20.1319, -134.62, 104.783, -62.4443, -33.881, -234.551]
[286.01, 95.261, -20.5254, -134.62, 104.783, -62.4443, -33.881, -234.551]
[286.353, 95.261, -20.5254, -134.62, 104.783, -62.4443, -34.2246, -234.551]
[286.353, 95.261, -20.5254, -135.353, 105.516, -62.4443, -34.2246, -234.551]
[286.353, 95.261, -20.5254, -127.312, 97.4742, -62.4443, -34.2246, -234.551]
[286.742, 95.261, -20.9146, -127.312, 97.4742, -62.4443, -34.2246, -234.551]
[286.742, 97.35, -23.0037, -127.312, 97.4742, -62.4443, -34.2246, -234.551]
[286.742, 97.35, -23.0037, -130.321, 97.4742, -59.4355, -34.2246, -234.551]
[287.89, 97.35, -23.0037, -130.321, 96.3266, -59.4355, -34.2246, -234.551]
[287.89, 97.35, -23.0037, -133.212, 96.3266, -56.5445, -34.2246, -234.551]
[288.161, 97.35, -23.0037, -133.212, 96.3266, -56.8156, -34.2246, -234.551]
[288.289, 97.35, -23.0037, -133.339, 96.3266, -56.8156, -34.2246, -234.551]
[288.289, 97.35, -23.0037, -131.003, 96.3266, -56.8156, -34.2246, -236.887]
[288.289, 98.1607, -23.0037, -131.814, 96.3266, -56.8156, -34.2246, -236.887]
[288.289, 99.6956, -23.0037, -131.814, 96.3266, -58.3505, -34.2246, -236.887]
[288.289, 99.6956, -23.0037, -131.814, 97.8653, -59.8891, -34.2246, -236.887]
[288.289, 101.683, -24.9907, -131.814, 97.8653, -59.8891, -34.2246, -236.887]
[288.289, 103.136, -24.9907, -131.814, 97.8653, -61.3423, -34.2246, -236.887]
[289.478, 101.946, -24.9907, -131.814, 97.8653, -61.3423, -34.2246, -236.887]
[289.478, 101.946, -24.9907, -134.713, 97.8653, -58.4432, -34.2246, -236.887]
[289.478, 101.946, -24.9907, -134.713, 99.3834, -59.9613, -34.2246, -236.887]
[289.478, 101.946, -24.9907, -134.713, 92.0991, -52.677, -34.2246, -236.887]
[289.478, 101.946, -24.9907, -141.158, 92.0991, -52.677, -34.2246, -230.442]
[289.478, 101.946, -24.9907, -141.158, 94.0309, -52.677, -36.1565, -230.442]
[281.879, 109.546, -24.9907, -141.158, 94.0309, -52.677, -36.1565, -230.442]
[281.879, 109.546, -24.9907, -143.43, 94.0309, -52.677, -33.8845, -230.442]
[281.879, 109.546, -24.9907, -140.842, 94.0309, -52.677, -33.8845, -233.03]
[281.879, 109.822, -24.9907, -140.842, 94.0309, -52.677, -33.8845, -233.306]
[282.268, 109.822, -25.38, -140.842, 94.0309, -52.677, -33.8845, -233.306]
[282.654, 109.822, -25.7664, -140.842, 94.0309, -52.677, -33.8845, -233.306]
[282.654, 109.822, -25.7664, -140.842, 95.9389, -52.677, -35.7925, -233.306]
[282.78, 109.822, -25.7664, -140.967, 95.9389, -52.677, -35.7925, -233.306]
[282.78, 109.822, -25.7664, -140.967, 97.556, -54.2941, -35.7925, -233.306]
[274.363, 109.822, -25.7664, -140.967, 97.556, -54.2941, -27.3759, -233.306]
[275.78, 108.405, -25.7664, -140.967, 97.556, -54.2941, -27.3759, -233.306]
[275.78, 108.405, -25.7664, -140.967, 99.1309, -55.8689, -27.3759, -233.306]
[275.78, 109.825, -25.7664, -140.967, 99.1309, -57.2896, -27.3759, -233.306]
[276.19, 109.825, -26.176, -140.967, 99.1309, -57.2896, -27.3759, -233.306]
[276.492, 109.825, -26.176, -140.967, 99.1309, -57.5911, -27.3759, -233.306]
[277.763, 109.825, -26.176, -140.967, 97.8592, -57.5911, -27.3759, -233.306]
[269.394, 109.825, -26.176, -140.967, 97.8592, -57.5911, -19.007, -233.306]
[269.451, 109.825, -26.176, -140.967, 97.8592, -57.5911, -19.007, -233.363]
[270.787, 109.825, -26.176, -140.967, 96.5235, -57.5911, -19.007, -233.363]
[270.787, 110.485, -26.176, -141.627, 96.5235, -57.5911, -19.007, -233.363]
[270.787, 111.137, -26.176, -142.279, 96.5235, -57.5911, -19.007, -233.363]
